species_id	tax_id	species	genus	subfamily	family	suborder	order	subclass	class	phylum	clade1	kingdom	clade	superkingdom	no rank
Pocillopora_verrucosa_XSCSv1	203993	Pocillopora verrucosa	Pocillopora	NA	Pocilloporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Podocoryna_carnea_NANAv1	6096	Podocoryna carnea	Podocoryna	NA	Hydractiniidae	Filifera	Anthoathecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Porites_astreoides_BBBMv1	104758	Porites astreoides	Porites	NA	Poritidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Porites_australiensis_SLJPv1	51061	Porites australiensis	Porites	NA	Poritidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Porites_compressa_KBHIv1	46720	Porites compressa	Porites	NA	Poritidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Porites_lutea_OIAUv1.1	51062	Porites lutea	Porites	NA	Poritidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Porpita_porpita_YOJPv1	316235	Porpita porpita	Porpita	NA	Porpitidae	Capitata	Anthoathecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Pseudodiploria_strigosa_REEFv1	1428006	Pseudodiploria strigosa	Pseudodiploria	Faviinae	Mussidae	Faviina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Renilla_muelleri_FLUSv1	37510	Renilla muelleri	Renilla	NA	Renillidae	Sessiliflorae	Pennatulacea	Octocorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Salpingoeca_rosetta_HIUSv1	946362	Salpingoeca rosetta	Salpingoeca	NA	Salpingoecidae	NA	Craspedida	NA	Choanoflagellata	NA	NA	NA	Opisthokonta	Eukaryota	cellular organisms
Scolanthus_callimorphus_CRFRv1	2072708	Scolanthus callimorphus	Scolanthus	NA	Edwardsiidae	NA	Actiniaria	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Seriatopora_hystrix_REEFv1	51070	Seriatopora hystrix	Seriatopora	NA	Pocilloporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Stylissa_carteri_RSSAv1	279588	Stylissa carteri	Stylissa	NA	Axinellidae	NA	Axinellida	Heteroscleromorpha	Demospongiae	Porifera	NA	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Stylophora_pistillata_GAJOv1	50429	Stylophora pistillata	Stylophora	NA	Pocilloporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Trichoplax_sp_H2_CRPAv1	287889	Trichoplax sp. H2	Trichoplax	NA	Trichoplacidae	NA	NA	NA	NA	Placozoa	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Velella_velella_OKJPv1	264060	Velella velella	Velella	NA	Porpitidae	Capitata	Anthoathecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Xenia_sp_CTEAv1	86540	Xenia sp.	Xenia	NA	Xeniidae	NA	Alcyonacea	Octocorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Xestospongia_testudinaria_RSSAv1	178554	Xestospongia testudinaria	Xestospongia	NA	Petrosiidae	NA	Haplosclerida	Heteroscleromorpha	Demospongiae	Porifera	NA	Metazoa	Opisthokonta	Eukaryota	cellular organisms
